# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Full Version
# File: /home/daliang3/Desktop/lab1/lab1.csv
# Generated on: Thu May  3 08:07:33 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
GPIO_1[26],Unknown,PIN_AK22,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[27],Unknown,PIN_AJ22,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[28],Unknown,PIN_AH22,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[29],Unknown,PIN_AG22,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[2],Unknown,PIN_AB21,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[30],Unknown,PIN_AF24,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[31],Unknown,PIN_AF23,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[32],Unknown,PIN_AE22,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[33],Unknown,PIN_AD21,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[34],Unknown,PIN_AA20,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[35],Unknown,PIN_AC22,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[3],Unknown,PIN_AC23,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[4],Unknown,PIN_AD24,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[5],Unknown,PIN_AE23,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[6],Unknown,PIN_AE24,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[7],Unknown,PIN_AF25,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[8],Unknown,PIN_AF26,4A,B4A_N0,,,,,,,,,,,,,,,
GPIO_1[9],Unknown,PIN_AG25,4A,B4A_N0,,,,,,,,,,,,,,,
IRDA_RXD,Unknown,PIN_AA30,5B,B5B_N0,,,,,,,,,,,,,,,
IRDA_TXD,Unknown,PIN_AB30,5B,B5B_N0,,,,,,,,,,,,,,,
PS2_CLK,Unknown,PIN_AD7,3A,B3A_N0,,,,,,,,,,,,,,,
PS2_DAT,Unknown,PIN_AE7,3A,B3A_N0,,,,,,,,,,,,,,,
PS2_CLK2,Unknown,PIN_AD9,3A,B3A_N0,,,,,,,,,,,,,,,
PS2_DAT2,Unknown,PIN_AE9,3A,B3A_N0,,,,,,,,,,,,,,,
TD_CLK27,Unknown,PIN_H15,8A,B8A_N0,,,,,,,,,,,,,,,
TD_DATA[0],Unknown,PIN_D2,8A,B8A_N0,,,,,,,,,,,,,,,
TD_DATA[1],Unknown,PIN_B1,8A,B8A_N0,,,,,,,,,,,,,,,
TD_DATA[2],Unknown,PIN_E2,8A,B8A_N0,,,,,,,,,,,,,,,
TD_DATA[3],Unknown,PIN_B2,8A,B8A_N0,,,,,,,,,,,,,,,
TD_DATA[4],Unknown,PIN_D1,8A,B8A_N0,,,,,,,,,,,,,,,
TD_DATA[5],Unknown,PIN_E1,8A,B8A_N0,,,,,,,,,,,,,,,
TD_DATA[6],Unknown,PIN_C2,8A,B8A_N0,,,,,,,,,,,,,,,
TD_DATA[7],Unknown,PIN_B3,8A,B8A_N0,,,,,,,,,,,,,,,
TD_HS,Unknown,PIN_A5,8A,B8A_N0,,,,,,,,,,,,,,,
TD_RESET_N,Unknown,PIN_F6,8A,B8A_N0,,,,,,,,,,,,,,,
TD_VS,Unknown,PIN_A3,8A,B8A_N0,,,,,,,,,,,,,,,
USB_B2_CLK,Unknown,PIN_AF4,3A,B3A_N0,,,,,,,,,,,,,,,
USB_B2_DATA[0],Unknown,PIN_AH4,3A,B3A_N0,,,,,,,,,,,,,,,
USB_B2_DATA[1],Unknown,PIN_AH3,3A,B3A_N0,,,,,,,,,,,,,,,
USB_B2_DATA[2],Unknown,PIN_AJ2,3A,B3A_N0,,,,,,,,,,,,,,,
USB_B2_DATA[3],Unknown,PIN_AJ1,3A,B3A_N0,,,,,,,,,,,,,,,
USB_B2_DATA[4],Unknown,PIN_AH2,3A,B3A_N0,,,,,,,,,,,,,,,
USB_B2_DATA[5],Unknown,PIN_AG3,3A,B3A_N0,,,,,,,,,,,,,,,
USB_B2_DATA[6],Unknown,PIN_AG2,3A,B3A_N0,,,,,,,,,,,,,,,
USB_B2_DATA[7],Unknown,PIN_AG1,3A,B3A_N0,,,,,,,,,,,,,,,
USB_EMPTY,Unknown,PIN_AF5,3A,B3A_N0,,,,,,,,,,,,,,,
USB_FULL,Unknown,PIN_AG5,3A,B3A_N0,,,,,,,,,,,,,,,
USB_OE_N,Unknown,PIN_AF6,3A,B3A_N0,,,,,,,,,,,,,,,
USB_RD_N,Unknown,PIN_AG6,3A,B3A_N0,,,,,,,,,,,,,,,
USB_RESET_N,Unknown,PIN_AG7,3A,B3A_N0,,,,,,,,,,,,,,,
USB_SCL,Unknown,PIN_AG8,3A,B3A_N0,,,,,,,,,,,,,,,
USB_SDA,Unknown,PIN_AF8,3A,B3A_N0,,,,,,,,,,,,,,,
USB_WR_N,Unknown,PIN_AH5,3A,B3A_N0,,,,,,,,,,,,,,,
VGA_B[0],Unknown,PIN_B13,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_B[1],Unknown,PIN_G13,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_B[2],Unknown,PIN_H13,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_B[3],Unknown,PIN_F14,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_B[4],Unknown,PIN_H14,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_B[5],Unknown,PIN_F15,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_B[6],Unknown,PIN_G15,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_B[7],Unknown,PIN_J14,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_BLANK_N,Unknown,PIN_F10,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_CLK,Unknown,PIN_A11,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_G[0],Unknown,PIN_J9,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_G[1],Unknown,PIN_J10,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_G[2],Unknown,PIN_H12,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_G[3],Unknown,PIN_G10,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_G[4],Unknown,PIN_G11,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_G[5],Unknown,PIN_G12,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_G[6],Unknown,PIN_F11,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_G[7],Unknown,PIN_E11,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_HS,Unknown,PIN_B11,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_R[0],Unknown,PIN_A13,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_R[1],Unknown,PIN_C13,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_R[2],Unknown,PIN_E13,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_R[3],Unknown,PIN_B12,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_R[4],Unknown,PIN_C12,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_R[5],Unknown,PIN_D12,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_R[6],Unknown,PIN_E12,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_R[7],Unknown,PIN_F13,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_SYNC_N,Unknown,PIN_C10,8A,B8A_N0,,,,,,,,,,,,,,,
VGA_VS,Unknown,PIN_D11,8A,B8A_N0,,,,,,,,,,,,,,,
